id,name,photo_path,services,hours,in_charge,tags,x,y,qr_url
1,"Administration Building","img/admin.jpg","Office of the Chancellor, Registrar, Finance, Admissions, Human Resources","Mon-Fri 8:00AM-5:00PM","Office of the Chancellor","enrollment;admin;finance",0.25,0.28,"https://forms.google.com/admin"
2,"Science Building (COS)","img/science.jpg","Biology Lab, Chemistry Lab, Physics Lab, Math Dept, Computer Lab","Mon-Fri 7:00AM-6:00PM","Dean of College of Science","science;lab;wifi",0.45,0.22,""
3,"Technology Innovation Center","img/tic.jpg","Research Hub, Co-Working Spaces, Innovation Labs, 3D Printing","Mon-Fri 8:00AM-7:00PM","TIC Director","wifi;research;printing",0.65,0.30,""
4,"Library Building","img/library.jpg","Main Library, Reading Rooms, Digital Archives, Printing Services","Mon-Sat 7:30AM-7:00PM","University Librarian","library;printing;wifi;study",0.38,0.45,""
5,"Residence Halls","img/dorm.jpg","Student Dormitories, Dormitory Office, Common Areas","Open 24 hours","Dormitory Manager","housing;residence;dorm",0.20,0.55,""
6,"School of Management","img/som.jpg","SOM Admin, Classrooms, Faculty Offices, Student Lounge","Mon-Fri 7:30AM-5:30PM","Dean of School of Management","management;admin;enrollment",0.72,0.55,""
7,"Undergraduate Building","img/ug.jpg","General Classrooms, Faculty Offices, Study Halls","Mon-Fri 7:00AM-6:00PM","Registrar Office","classes;enrollment;faculty",0.55,0.65,""
8,"Arts and Design Workshop","img/arts.jpg","Visual Arts Studio, Design Workshop, Exhibition Area","Mon-Fri 8:00AM-6:00PM","Arts and Design Department Head","arts;design;workshop",0.35,0.72,""
9,"Social Sciences Building","img/soc.jpg","Sociology Dept, Political Science, History, Social Work Offices","Mon-Fri 8:00AM-5:00PM","Dean, College of Social Sciences","social;classes;faculty",0.50,0.80,""
11,"AS Conference Hall","img/as.jpg","Conference Room, Seminar Halls, Events Venue","Mon-Fri 7:00AM-9:00PM (by reservation)","Administrative Services","events;conference;admin",0.60,0.40,""
12,"Union Building","img/union.jpg","Cafeteria, Student Organizations Hub, UPCSG Office, Photocopy Center","Mon-Sat 7:00AM-8:00PM","Student Council","food;printing;student;wifi",0.28,0.62,""
13,"UP Cebu Go Negosyo Center","img/goneg.jpg","Business Registration, MSME Support, Livelihood Programs, DTI Services","Mon-Fri 8:00AM-5:00PM","Go Negosyo Center Coordinator","business;services;government",0.75,0.72,"https://forms.google.com/gonegosyo"
14,"Co-Working Space","img/cowork.jpg","Open Co-Working Desks, Meeting Pods, High-Speed WiFi, Printing","Mon-Fri 8:00AM-8:00PM; Sat 9:00AM-5:00PM","TIC Facilities Manager","wifi;study;printing;coworking",0.42,0.35,""
